active,latitude,longitude,initials
y,41.19332,-101.65533,HRL
y,41.19333,-101.65534,HRL
y,41.19337,-101.65533,HRL
y,41.1934,-101.65533,HRL
n,41.1935,-101.65539,HRL
y,41.19353,-101.65547,HRL
y,41.19357,-101.65542,HRL
y,41.19355,-101.65543,HRL
y,41.19352,-101.6554,HRL
n,41.19352,-101.65536,HRL
y,41.1935,-101.65536,HRL
n,41.19352,-101.65532,HRL
y,41.19357,-101.6553,HRL
y,41.1936,-101.65527,HRL
y,41.19362,-101.65524,HRL
y,41.19365,-101.65529,HRL
y,41.19365,-101.65534,HRL
y,41.19371,-101.65534,HRL
y,41.19373,-101.65539,HRL
n,41.19374,-101.65536,HRL
y,41.19374,-101.65533,HRL
y,41.19375,-101.65531,HRL
n,41.19378,-101.65536,HRL
y,41.19379,-101.65533,HRL
y,41.19378,-101.65527,HRL
y,41.19371,-101.65526,HRL
n,41.1937,-101.65527,HRL
y,41.19369,-101.65526,HRL
y,41.19366,-101.65522,HRL
n,41.19365,-101.6552,HRL
n,41.19365,-101.65519,HRL
n,41.19368,-101.65513,HRL
n,41.19371,-101.6551,HRL
y,41.19372,-101.65511,HRL
n,41.19375,-101.65513,HRL
y,41.19377,-101.65519,HRL
y,41.19377,-101.6552,HRL
n,41.19375,-101.65521,HRL
y,41.19381,-101.65519,HRL
y,41.19385,-101.65521,HRL
y,41.19355,-101.65486,RM
y,41.19354,-101.65485,RM
y,41.19359,-101.65492,RM
y,41.19362,-101.65491,RM
y,41.19360,-101.65497,RM
y,41.19362,-101.65498,RM
y,41.19360,-101.65505,RM
y,41.19361,-101.65513,RM
y,41.19366,-101.65508,RM
y,41.19370,-101.65504,RM
y,41.19370,-101.65498,RM
y,41.19371,-101.65494,RM
y,41.19375,-101.65500,RM
y,41.19376,-101.65502,RM
y,41.19378,-101.65500,RM
n,41.19379,-101.65502,RM
y,41.19381,-101.65491,RM
y,41.19382,-101.65492,RM
y,41.19384,-101.65489,RM
y,41.19382,-101.65482,RM
y,41.19377,-101.65479,RM
y,41.19384,-101.65478,RM
y,41.19386,-101.65472,RM
y,41.19388,-101.65469,RM
y,41.19390,-101.65472,RM
y,41.19397,-101.65473,RM
y,41.19396,-101.65456,RM
n,41.19391,-101.65484,RM
y,41.19397,-101.65482,RM
y,41.19402,-101.65482,RM
y,41.19406,-101.65486,RM
y,41.19417,-101.65498,RM
y,41.19422,-101.65495,RM
y,41.19410,-101.65495,RM
y,41.19410,-101.65497,RM
y,41.19413,-101.65507,RM
y,41.19421,-101.65492,RM
y,41.19422,-101.65491,RM
y,41.19270,-101.65481,RM
y,41.19429,-101.65485,RM
y,41.19434,-101.65488,RM
n,41.19311,-101.65614,RM
y,41.19313,-101.65609,RM
n,41.19314,-101.65607,RM
y,41.19315,-101.65604,RM
y,41.19316,-101.65602,RM
y,41.19316,-101.65699,RM
